Sales =
| sale_id | product_id | year | quantity | price |
| ------- | ---------- | ---- | -------- | ----- |
| 1       | 69         | 1971 | 35       | 9291  |
| 2       | 44         | 1848 | 34       | 8922  |
| 3       | 48         | 1846 | 73       | 4508  |
| 4       | 69         | 2150 | 64       | 1973  |
| 5       | 54         | 2193 | 42       | 353   |
| 6       | 74         | 2124 | 36       | 581   |
| 7       | 36         | 2004 | 74       | 8818  |
| 8       | 61         | 2064 | 66       | 7019  |
| 9       | 6          | 1914 | 14       | 8353  |
| 10      | 30         | 2047 | 52       | 514   |
| 11      | 37         | 2186 | 30       | 4020  |
| 12      | 51         | 2183 | 85       | 5596  |
| 13      | 55         | 1952 | 25       | 2050  |
| 14      | 6          | 1981 | 10       | 5018  |
| 15      | 25         | 1849 | 63       | 8373  |
| 16      | 61         | 1853 | 37       | 3923  |
| 17      | 70         | 2171 | 29       | 9465  |
| 18      | 61         | 2169 | 58       | 8721  |
| 19      | 65         | 1858 | 50       | 4223  |
| 20      | 3          | 2028 | 28       | 5498  |
| 21      | 22         | 1922 | 59       | 955   |
| 22      | 14         | 1960 | 25       | 7198  |
| 23      | 61         | 2149 | 77       | 9792  |
| 24      | 33         | 2104 | 66       | 6051  |
| 25      | 24         | 2052 | 48       | 3119  |
| 26      | 26         | 2043 | 32       | 3550  |
| 27      | 36         | 1812 | 87       | 6342  |
| 28      | 9          | 1953 | 57       | 8372  |
| 29      | 54         | 1972 | 14       | 1492  |
| 30      | 16         | 2180 | 46       | 8978  |
| 31      | 1          | 2141 | 94       | 5819  |
| 32      | 35         | 2044 | 68       | 8477  |
| 33      | 32         | 2013 | 24       | 6609  |
| 34      | 50         | 2105 | 1        | 1015  |
| 35      | 51         | 1807 | 36       | 1415  |
| 36      | 21         | 1839 | 44       | 7654  |
| 37      | 30         | 2154 | 64       | 4005  |
| 38      | 76         | 1904 | 62       | 5439  |
| 39      | 49         | 2161 | 52       | 3647  |
| 40      | 35         | 2019 | 69       | 7963  |
| 41      | 62         | 2170 | 35       | 6940  |
| 42      | 72         | 2165 | 31       | 4631  |
| 43      | 8          | 2182 | 1        | 7858  |
| 44      | 52         | 1840 | 12       | 5405  |
| 45      | 71         | 2074 | 44       | 4186  |
| 46      | 63         | 1980 | 56       | 4473  |
| 47      | 64         | 1892 | 49       | 7742  |
| 48      | 49         | 2085 | 93       | 3921  |
| 49      | 77         | 1882 | 6        | 9017  |
| 50      | 62         | 1936 | 96       | 1662  |
| 51      | 9          | 1905 | 14       | 5874  |
| 52      | 41         | 2017 | 22       | 1496  |
| 53      | 13         | 1897 | 21       | 3917  |
| 54      | 42         | 2116 | 6        | 5754  |
| 55      | 10         | 1896 | 92       | 1233  |
| 56      | 5          | 1868 | 90       | 7605  |
| 57      | 26         | 1884 | 64       | 5616  |
| 58      | 17         | 2046 | 35       | 7971  |
| 59      | 46         | 1858 | 34       | 8840  |
| 60      | 31         | 1954 | 54       | 8785  |
| 61      | 32         | 1859 | 63       | 730   |
| 62      | 28         | 2198 | 46       | 3637  |
| 63      | 70         | 2159 | 4        | 5388  |
| 64      | 67         | 1957 | 68       | 7674  |
| 65      | 64         | 1803 | 70       | 7942  |
| 66      | 75         | 2038 | 34       | 9097  |
| 67      | 40         | 1941 | 3        | 6556  |
| 68      | 34         | 1938 | 37       | 4470  |
| 69      | 39         | 1969 | 27       | 3895  |
| 70      | 25         | 1920 | 88       | 8378  |
| 71      | 11         | 2002 | 86       | 9731  |
| 72      | 18         | 1968 | 47       | 7837  |
| 73      | 60         | 2187 | 17       | 5664  |
| 74      | 67         | 2189 | 75       | 9827  |
| 75      | 26         | 2196 | 89       | 7612  |
| 76      | 7          | 1859 | 9        | 8103  |
| 77      | 8          | 1946 | 21       | 1878  |
| 78      | 32         | 2032 | 16       | 8190  |
| 79      | 53         | 2080 | 61       | 6274  |
| 80      | 38         | 1929 | 29       | 8085  |
| 81      | 41         | 2150 | 78       | 828   |
| 82      | 13         | 2190 | 71       | 3998  |
| 83      | 2          | 1837 | 24       | 1164  |
| 84      | 40         | 1979 | 95       | 212   |
| 85      | 58         | 2163 | 59       | 8713  |
| 86      | 56         | 1922 | 33       | 565   |
| 87      | 49         | 2054 | 37       | 2375  |
| 88      | 59         | 2113 | 70       | 8840  |
| 89      | 74         | 1939 | 9        | 9956  |
| 90      | 4          | 2078 | 25       | 9713  |
| 91      | 23         | 1926 | 94       | 2741  |
| 92      | 65         | 1859 | 56       | 3405  |
| 93      | 41         | 2157 | 100      | 1194  |
| 94      | 51         | 1927 | 57       | 8487  |
| 95      | 34         | 1804 | 53       | 5393  |
| 96      | 45         | 1848 | 56       | 8406  |
| 97      | 14         | 1805 | 53       | 6896  |
| 98      | 50         | 2146 | 63       | 4573  |
| 99      | 45         | 2120 | 74       | 2104  |
| 100     | 22         | 2057 | 52       | 4333  |
| 101     | 39         | 2076 | 13       | 4634  |
| 102     | 15         | 2030 | 97       | 9589  |
| 103     | 67         | 1803 | 60       | 1088  |
| 104     | 76         | 1874 | 82       | 271   |
| 105     | 53         | 1954 | 97       | 8530  |
| 106     | 32         | 2174 | 58       | 9226  |
| 107     | 11         | 2084 | 47       | 6599  |
| 108     | 3          | 2003 | 85       | 4954  |
| 109     | 58         | 1857 | 93       | 6548  |
| 110     | 22         | 2012 | 47       | 2112  |
| 111     | 18         | 2031 | 28       | 1222  |
| 112     | 20         | 2116 | 43       | 1661  |
| 113     | 25         | 1894 | 31       | 9063  |
| 114     | 3          | 2014 | 50       | 2407  |
| 115     | 69         | 2085 | 41       | 7042  |
| 116     | 59         | 1950 | 60       | 2482  |
| 117     | 34         | 1958 | 97       | 338   |
| 118     | 62         | 1949 | 65       | 8861  |
| 119     | 27         | 1879 | 6        | 6132  |
| 120     | 3          | 2164 | 40       | 8366  |
| 121     | 52         | 2129 | 46       | 8278  |
| 122     | 70         | 2002 | 87       | 580   |
| 123     | 43         | 1939 | 50       | 655   |
| 124     | 53         | 2145 | 13       | 2159  |
| 125     | 24         | 1990 | 71       | 1321  |
| 126     | 37         | 1896 | 87       | 5895  |
| 127     | 66         | 1965 | 38       | 326   |
| 128     | 42         | 1985 | 56       | 3298  |
| 129     | 39         | 1998 | 22       | 2157  |
| 130     | 22         | 2196 | 14       | 8079  |
| 131     | 59         | 1838 | 88       | 4320  |
| 132     | 44         | 1849 | 34       | 8654  |
| 133     | 44         | 2132 | 14       | 8512  |
| 134     | 41         | 2051 | 8        | 3797  |
| 135     | 48         | 1817 | 93       | 6496  |
| 136     | 66         | 1870 | 86       | 8251  |
| 137     | 57         | 2100 | 79       | 4304  |
| 138     | 11         | 2199 | 40       | 2254  |
| 139     | 70         | 1821 | 61       | 7062  |
| 140     | 32         | 1892 | 6        | 5937  |
| 141     | 19         | 1847 | 13       | 6240  |
| 142     | 40         | 1928 | 59       | 5793  |
| 143     | 31         | 2009 | 94       | 3732  |
| 144     | 31         | 2049 | 36       | 3098  |
| 145     | 74         | 1990 | 73       | 3803  |
| 146     | 36         | 1971 | 2        | 4692  |
| 147     | 74         | 1819 | 53       | 5884  |
| 148     | 13         | 1946 | 52       | 7287  |
| 149     | 37         | 2172 | 20       | 8575  |
| 150     | 36         | 1962 | 16       | 3916  |
| 151     | 40         | 2040 | 60       | 1807  |
| 152     | 49         | 2175 | 12       | 104   |
| 153     | 66         | 2085 | 26       | 1729  |
| 154     | 12         | 1963 | 18       | 9360  |
| 155     | 43         | 1852 | 81       | 3915  |
| 156     | 12         | 1850 | 30       | 9578  |
| 157     | 31         | 2127 | 88       | 8383  |
| 158     | 71         | 2082 | 46       | 6379  |
| 159     | 21         | 1943 | 69       | 9438  |
| 160     | 28         | 2030 | 77       | 305   |
