Activity =
| user_id | session_id | activity_date | activity_type |
| ------- | ---------- | ------------- | ------------- |
| 93      | 50         | 2019-06-17    | send_message  |
| 18      | 143        | 2019-07-26    | send_message  |
| 29      | 173        | 2019-06-13    | open_session  |
| 65      | 32         | 2019-06-20    | send_message  |
| 46      | 149        | 2019-05-30    | end_session   |
| 22      | 200        | 2019-05-26    | scroll_down   |
| 63      | 128        | 2019-06-12    | open_session  |
| 98      | 97         | 2019-06-05    | end_session   |
| 58      | 153        | 2019-07-05    | send_message  |
| 63      | 45         | 2019-06-03    | send_message  |
| 47      | 61         | 2019-05-27    | send_message  |
| 14      | 183        | 2019-06-20    | scroll_down   |
| 16      | 135        | 2019-07-18    | scroll_down   |
| 15      | 121        | 2019-05-12    | scroll_down   |
| 18      | 99         | 2019-06-01    | send_message  |
| 16      | 138        | 2019-05-24    | scroll_down   |
| 86      | 68         | 2019-05-25    | end_session   |
| 18      | 134        | 2019-07-21    | send_message  |
| 51      | 136        | 2019-05-18    | open_session  |
| 66      | 1          | 2019-07-07    | open_session  |
| 78      | 120        | 2019-07-23    | send_message  |
| 54      | 171        | 2019-06-10    | send_message  |
| 38      | 7          | 2019-06-10    | send_message  |
| 47      | 94         | 2019-06-11    | open_session  |
| 57      | 106        | 2019-07-01    | send_message  |
| 93      | 10         | 2019-06-22    | scroll_down   |
| 26      | 116        | 2019-06-07    | scroll_down   |
| 78      | 62         | 2019-07-03    | open_session  |
| 58      | 137        | 2019-05-19    | send_message  |
| 2       | 87         | 2019-05-03    | send_message  |
| 64      | 81         | 2019-07-25    | scroll_down   |
| 62      | 28         | 2019-06-21    | send_message  |
| 51      | 136        | 2019-06-06    | end_session   |
| 2       | 87         | 2019-06-08    | scroll_down   |
| 80      | 95         | 2019-07-22    | send_message  |
| 39      | 73         | 2019-07-05    | scroll_down   |
| 15      | 118        | 2019-06-07    | end_session   |
| 39      | 53         | 2019-07-24    | scroll_down   |
| 62      | 187        | 2019-05-15    | open_session  |
| 55      | 8          | 2019-06-03    | send_message  |
| 80      | 115        | 2019-06-19    | open_session  |
| 4       | 110        | 2019-07-13    | open_session  |
| 69      | 191        | 2019-05-22    | send_message  |
| 35      | 36         | 2019-06-28    | send_message  |
| 48      | 108        | 2019-06-22    | open_session  |
| 80      | 115        | 2019-06-24    | end_session   |
| 58      | 137        | 2019-06-21    | scroll_down   |
| 49      | 147        | 2019-06-20    | scroll_down   |
| 71      | 90         | 2019-07-03    | open_session  |
| 92      | 145        | 2019-05-01    | scroll_down   |
| 66      | 1          | 2019-05-09    | scroll_down   |
| 39      | 33         | 2019-05-18    | send_message  |
| 50      | 79         | 2019-05-01    | send_message  |
| 93      | 50         | 2019-07-19    | end_session   |
| 46      | 149        | 2019-05-19    | end_session   |
| 64      | 81         | 2019-05-02    | end_session   |
| 39      | 53         | 2019-07-24    | open_session  |
| 48      | 108        | 2019-07-26    | open_session  |
| 51      | 136        | 2019-05-18    | scroll_down   |
| 83      | 103        | 2019-06-13    | send_message  |
| 80      | 95         | 2019-06-08    | send_message  |
| 4       | 110        | 2019-05-02    | send_message  |
| 53      | 83         | 2019-05-31    | end_session   |
| 36      | 22         | 2019-06-07    | end_session   |
| 92      | 145        | 2019-05-29    | scroll_down   |
| 39      | 53         | 2019-05-03    | scroll_down   |
| 62      | 93         | 2019-07-21    | open_session  |
| 2       | 87         | 2019-05-23    | end_session   |
| 70      | 12         | 2019-07-13    | open_session  |
| 7       | 199        | 2019-05-26    | end_session   |
| 39      | 92         | 2019-07-17    | end_session   |
| 31      | 182        | 2019-07-01    | scroll_down   |
| 2       | 38         | 2019-05-04    | end_session   |
| 64      | 3          | 2019-05-04    | scroll_down   |
| 44      | 192        | 2019-06-29    | end_session   |
| 98      | 123        | 2019-06-01    | send_message  |
| 48      | 196        | 2019-06-15    | open_session  |
| 7       | 30         | 2019-07-25    | send_message  |
| 17      | 6          | 2019-06-26    | end_session   |
| 65      | 32         | 2019-06-28    | send_message  |
| 93      | 10         | 2019-06-09    | scroll_down   |
| 91      | 113        | 2019-06-21    | end_session   |
| 4       | 15         | 2019-06-04    | end_session   |
| 45      | 154        | 2019-05-01    | scroll_down   |
| 57      | 106        | 2019-07-13    | open_session  |
| 47      | 61         | 2019-07-11    | send_message  |
| 41      | 107        | 2019-05-21    | open_session  |
| 44      | 78         | 2019-06-14    | end_session   |
| 14      | 122        | 2019-05-10    | open_session  |
| 24      | 165        | 2019-06-13    | scroll_down   |
| 47      | 94         | 2019-06-15    | send_message  |
| 7       | 9          | 2019-07-01    | send_message  |
| 80      | 95         | 2019-07-03    | send_message  |
| 22      | 200        | 2019-07-02    | send_message  |
| 95      | 148        | 2019-06-21    | send_message  |
| 15      | 121        | 2019-07-24    | scroll_down   |
| 66      | 1          | 2019-05-02    | end_session   |
| 39      | 194        | 2019-07-04    | send_message  |
| 27      | 189        | 2019-06-17    | send_message  |
| 98      | 123        | 2019-06-22    | open_session  |
| 30      | 14         | 2019-05-18    | scroll_down   |
| 4       | 60         | 2019-06-06    | open_session  |
| 67      | 190        | 2019-06-21    | send_message  |
| 6       | 51         | 2019-07-22    | end_session   |
| 26      | 5          | 2019-05-09    | open_session  |
| 27      | 189        | 2019-06-24    | scroll_down   |
| 24      | 165        | 2019-05-01    | send_message  |
| 44      | 105        | 2019-07-07    | open_session  |
| 57      | 106        | 2019-06-19    | end_session   |
| 39      | 73         | 2019-07-17    | end_session   |
| 86      | 68         | 2019-07-23    | send_message  |
| 4       | 110        | 2019-06-10    | open_session  |
| 29      | 59         | 2019-05-14    | open_session  |
| 35      | 127        | 2019-05-31    | send_message  |
| 4       | 146        | 2019-05-14    | scroll_down   |
| 63      | 76         | 2019-05-23    | scroll_down   |
| 4       | 41         | 2019-07-16    | end_session   |
| 26      | 77         | 2019-06-04    | end_session   |
| 41      | 107        | 2019-05-30    | open_session  |
| 23      | 140        | 2019-07-14    | end_session   |
| 39      | 194        | 2019-05-23    | send_message  |
| 60      | 180        | 2019-07-14    | end_session   |
| 81      | 155        | 2019-07-16    | end_session   |
| 78      | 120        | 2019-06-07    | open_session  |
| 93      | 10         | 2019-06-11    | open_session  |
| 27      | 152        | 2019-05-31    | open_session  |
| 57      | 58         | 2019-07-10    | end_session   |
| 14      | 183        | 2019-07-06    | open_session  |
| 7       | 80         | 2019-07-09    | scroll_down   |
| 7       | 2          | 2019-05-08    | scroll_down   |
| 3       | 25         | 2019-05-13    | scroll_down   |
| 43      | 170        | 2019-06-25    | open_session  |
| 37      | 48         | 2019-07-07    | open_session  |
| 65      | 130        | 2019-05-08    | scroll_down   |
| 78      | 114        | 2019-05-23    | send_message  |
| 33      | 69         | 2019-06-20    | end_session   |
| 18      | 99         | 2019-06-11    | end_session   |
| 62      | 52         | 2019-06-19    | open_session  |
| 43      | 193        | 2019-06-05    | end_session   |
| 27      | 56         | 2019-07-20    | open_session  |
| 94      | 160        | 2019-06-29    | end_session   |
| 78      | 62         | 2019-05-15    | end_session   |
