Followers =
| user_id | follower_id |
| ------- | ----------- |
| 39      | 13          |
| 20      | 76          |
| 54      | 86          |
| 17      | 41          |
| 78      | 27          |
| 56      | 76          |
| 98      | 27          |
| 77      | 53          |
| 78      | 44          |
| 82      | 27          |

Expected =
| user_id | followers_count |
| ------- | --------------- |
| 17      | 1               |
| 20      | 1               |
| 39      | 1               |
| 54      | 1               |
| 56      | 1               |
| 77      | 1               |
| 78      | 2               |
| 82      | 1               |
| 98      | 1               |
